id_vehicule,marque,modele,annee_circulation,date_circulation,carburant,usage,km_actuel,km_moyen_annuel,date_derniere_revision,km_derniere_revision,jours_depuis_derniere_revision,km_depuis_derniere_revision,nb_revisions_effectuees,intervalle_recommande_jours,intervalle_recommande_km,condition_vehicule,nb_pannes_historique,age_vehicule,taux_utilisation_km,taux_utilisation_jours,revisions_par_an
VEH01389,Audi,Q2,2023,2023-11-12,Électrique,Professionnel,10975,8486,2025-02-27,0,286,16656,1,657,24000,8,0,1,69.4,43.53,1.0
VEH01390,Nissan,Qashqai,2011,2011-10-05,Hybride,Flotte,249754,18727,2025-05-11,232789,213,16965,13,310,10500,5,3,13,161.57,68.71,1.0
VEH01391,Volkswagen,Passat,2019,2019-10-18,Essence,Flotte,93272,17463,2025-11-22,86084,18,7188,6,310,10500,10,0,5,68.46,5.81,1.2
VEH01392,Volkswagen,Touran,2023,2023-09-14,Diesel,Personnel,28710,27602,2025-03-16,17147,269,11563,1,365,20000,8,0,1,57.82,73.7,1.0
VEH01393,Ford,EcoSport,2011,2011-11-03,Diesel,Personnel,227464,17291,2025-04-13,204950,241,22514,15,365,20000,5,2,13,112.57,66.03,1.15
VEH01394,BMW,Série 3,2013,2013-09-13,Diesel,Flotte,252723,22666,2025-03-31,244301,254,8422,8,310,14000,4,1,11,60.16,81.94,0.73
VEH01395,Audi,A3,2019,2019-02-24,Diesel,Personnel,150733,28572,2025-04-08,132517,246,18216,5,365,20000,6,0,5,91.08,67.4,1.0
VEH01396,Audi,A6,2017,2017-12-28,Diesel,Personnel,90422,13043,2025-06-20,71510,173,18912,8,365,20000,10,2,7,94.56,47.4,1.14
VEH01397,Renault,Kadjar,2020,2020-03-22,Hybride,Professionnel,114834,28486,2025-05-26,111135,198,3699,4,328,12000,7,0,4,30.83,60.37,1.0
VEH01398,Audi,Q5,2021,2021-10-11,Hybride,Personnel,75214,22963,2025-11-11,72211,29,3003,3,365,15000,9,0,3,20.02,7.95,1.0
VEH01399,Seat,Arona,2014,2014-05-06,Diesel,Personnel,255001,25156,2025-04-09,233551,245,21450,11,365,20000,5,1,10,107.25,67.12,1.1
VEH01400,Citroën,C4 Cactus,2018,2018-12-19,Électrique,Personnel,104344,16822,2024-10-01,95064,435,9280,7,730,30000,7,0,6,30.93,59.59,1.17
VEH01401,Citroën,C5 Aircross,2011,2011-11-22,Hybride,Flotte,243716,18743,2025-03-03,230645,282,13071,10,310,10500,3,2,13,124.49,90.97,0.77
VEH01402,Opel,Astra,2016,2016-10-08,Hybride,Personnel,124889,15283,2025-03-04,102969,281,21920,6,365,15000,5,0,8,146.13,76.99,0.75
VEH01403,Ford,EcoSport,2016,2016-06-12,Essence,Personnel,78301,8840,2025-03-25,59297,260,19004,9,365,15000,8,0,8,126.69,71.23,1.12
VEH01404,Kia,Sportage,2023,2023-05-08,Diesel,Professionnel,8430,8249,2025-06-27,0,166,22582,1,328,16000,9,0,1,141.14,50.61,1.0
VEH01405,Seat,Ibiza,2024,2024-08-20,Diesel,Professionnel,0,23867,2025-11-06,0,34,8525,1,328,16000,9,0,0,53.28,10.37,1.0
VEH01406,Seat,Arona,2013,2013-07-10,Essence,Professionnel,122118,10890,2025-07-03,105252,160,16866,9,328,12000,6,0,11,140.55,48.78,0.82
VEH01407,Opel,Astra,2023,2023-07-16,Diesel,Personnel,23782,25187,2025-08-01,7815,131,15967,1,365,20000,10,0,1,79.83,35.89,1.0
VEH01408,Citroën,C4 Cactus,2023,2023-11-26,Essence,Personnel,13219,11575,2024-11-01,8364,404,4855,1,365,15000,9,0,1,32.37,110.68,1.0
VEH01409,Peugeot,508,2019,2019-09-16,Hybride,Personnel,129975,26398,2025-01-25,123662,319,6313,4,365,15000,7,1,5,42.09,87.4,0.8
VEH01410,Ford,Puma,2016,2016-03-05,Diesel,Flotte,156868,18842,2024-10-12,140839,424,16029,9,310,14000,7,1,8,114.49,136.77,1.12
VEH01411,Ford,Kuga,2014,2014-05-28,Diesel,Flotte,134174,13491,2025-03-23,121103,262,13071,12,310,14000,7,0,10,93.36,84.52,1.2
VEH01412,Audi,Q3,2022,2022-06-26,Essence,Flotte,57935,28108,2025-08-31,39485,101,18450,2,310,10500,10,0,2,175.71,32.58,1.0
VEH01413,Audi,Q3,2010,2010-03-28,Hybride,Personnel,112515,8205,2025-11-09,105406,31,7109,11,365,15000,5,0,14,47.39,8.49,0.79
VEH01414,Volkswagen,Polo,2020,2020-02-26,Essence,Personnel,76923,18681,2025-10-26,68096,45,8827,2,365,15000,9,0,4,58.85,12.33,0.5
VEH01415,Ford,EcoSport,2012,2012-11-04,Diesel,Personnel,209604,17303,2025-07-08,190571,155,19033,12,365,20000,7,1,12,95.16,42.47,1.0
VEH01416,Toyota,Camry,2024,2024-04-14,Hybride,Personnel,7441,22712,2024-10-23,0,413,16452,1,365,15000,7,0,0,109.68,113.15,1.0
VEH01417,Seat,Tarraco,2021,2021-12-06,Diesel,Professionnel,61972,20085,2025-08-15,57692,117,4280,2,328,16000,10,0,3,26.75,35.67,0.67
VEH01418,Hyundai,i30,2013,2013-02-05,Essence,Personnel,167087,14559,2025-09-18,143947,83,23140,8,365,15000,6,1,11,154.27,22.74,0.73
VEH01419,Peugeot,2008,2013,2013-07-09,Diesel,Personnel,264074,24041,2025-08-18,243962,114,20112,8,365,20000,7,0,11,100.56,31.23,0.73
VEH01420,Peugeot,508,2017,2017-03-26,Essence,Professionnel,100175,13920,2025-03-30,82963,255,17212,6,328,12000,6,1,7,143.43,77.74,0.86
VEH01421,Audi,A4,2023,2023-10-02,Diesel,Professionnel,17996,18663,2025-01-18,13040,326,4956,1,328,16000,9,0,1,30.98,99.39,1.0
VEH01422,Ford,Focus,2021,2021-02-13,Électrique,Personnel,35217,9739,2025-08-29,18815,103,16402,2,730,30000,8,0,3,54.67,14.11,0.67
VEH01423,Toyota,Camry,2021,2021-04-19,Essence,Personnel,94972,29476,2025-08-27,92013,105,2959,3,365,15000,9,0,3,19.73,28.77,1.0
VEH01424,Hyundai,Kona,2024,2024-03-04,Essence,Personnel,2356,21995,2024-12-29,0,346,21175,1,365,15000,10,0,0,141.17,94.79,1.0
VEH01425,BMW,X5,2015,2015-12-08,Diesel,Personnel,248184,26926,2025-08-18,235692,114,12492,8,365,20000,8,0,9,62.46,31.23,0.89
VEH01426,Hyundai,Kona,2013,2013-03-26,Diesel,Personnel,231428,20880,2025-07-27,228788,136,2640,9,365,20000,8,0,11,13.2,37.26,0.82
VEH01427,Opel,Insignia,2021,2021-02-06,Diesel,Personnel,74812,22641,2024-10-04,53733,432,21079,2,365,20000,7,0,3,105.4,118.36,0.67
VEH01428,Volkswagen,Touran,2024,2024-10-15,Essence,Professionnel,5154,25268,2024-11-27,0,378,5686,1,328,12000,10,0,0,47.38,115.24,1.0
VEH01429,Skoda,Kodiaq,2013,2013-03-05,Diesel,Professionnel,96734,8920,2025-09-23,82797,78,13937,13,328,16000,8,0,11,87.11,23.78,1.18
VEH01430,Mercedes,Classe E,2017,2017-10-26,Électrique,Personnel,168289,23256,2025-03-18,149712,267,18577,7,730,30000,6,1,7,61.92,36.58,1.0
VEH01431,Skoda,Kamiq,2020,2020-09-12,Diesel,Personnel,57079,14050,2025-01-08,37549,336,19530,4,365,20000,8,1,4,97.65,92.05,1.0
VEH01432,Kia,Picanto,2013,2013-01-09,Essence,Personnel,197760,17899,2025-05-16,174612,208,23148,12,365,15000,6,0,11,154.32,56.99,1.09
VEH01433,Seat,Leon,2013,2013-12-19,Diesel,Personnel,119100,11066,2024-10-28,112211,408,6889,13,365,20000,6,0,11,34.44,111.78,1.18
VEH01434,Peugeot,3008,2013,2013-08-09,Diesel,Personnel,329020,29422,2025-08-24,325163,108,3857,7,365,20000,7,0,11,19.28,29.59,0.64
VEH01435,Volkswagen,Touran,2019,2019-08-03,Essence,Personnel,138611,27945,2025-09-17,123576,84,15035,3,365,15000,7,2,5,100.23,23.01,0.6
VEH01436,Nissan,X-Trail,2016,2016-08-25,Diesel,Professionnel,236343,29632,2025-11-03,230570,37,5773,6,328,16000,7,0,8,36.08,11.28,0.75
VEH01437,Citroën,C4,2010,2010-02-20,Hybride,Flotte,130945,9045,2025-09-22,117708,79,13237,16,310,10500,7,2,14,126.07,25.48,1.14
VEH01438,Hyundai,i30,2010,2010-05-19,Essence,Personnel,204352,14306,2025-05-20,191299,204,13053,11,365,15000,4,1,14,87.02,55.89,0.79
VEH01439,Mercedes,Classe E,2011,2011-03-25,Essence,Professionnel,224031,17242,2025-10-10,219079,61,4952,14,328,12000,7,1,13,41.27,18.6,1.08
VEH01440,Renault,Scenic,2020,2020-06-05,Essence,Professionnel,58446,12919,2025-07-07,44140,156,14306,4,328,12000,9,0,4,119.22,47.56,1.0
VEH01441,BMW,X5,2016,2016-02-26,Hybride,Personnel,232764,29468,2024-10-14,223732,422,9032,7,365,15000,6,0,8,60.21,115.62,0.88
VEH01442,Seat,Ibiza,2022,2022-02-08,Essence,Flotte,44677,22867,2025-09-19,33651,82,11026,2,310,10500,9,0,2,105.01,26.45,1.0
VEH01443,Kia,Ceed,2013,2013-01-09,Électrique,Flotte,114563,10455,2025-11-17,107948,23,6615,10,620,21000,6,0,11,31.5,3.71,0.91
VEH01444,Volkswagen,T-Roc,2017,2017-05-02,Diesel,Professionnel,100972,13451,2025-01-17,96957,327,4015,5,328,16000,6,0,7,25.09,99.7,0.71
VEH01445,Audi,A4,2012,2012-03-28,Essence,Personnel,212340,17220,2025-01-02,206833,342,5507,14,365,15000,6,0,12,36.71,93.7,1.17
VEH01446,Volkswagen,Touran,2021,2021-05-02,Diesel,Flotte,46506,16182,2025-09-28,43954,73,2552,2,310,14000,10,0,3,18.23,23.55,0.67
VEH01447,Nissan,X-Trail,2015,2015-07-26,Diesel,Professionnel,170114,18101,2025-10-28,155961,43,14153,11,328,16000,7,0,9,88.46,13.11,1.22
VEH01448,Volkswagen,Tiguan,2017,2017-02-05,Essence,Personnel,118161,16228,2025-04-22,116072,232,2089,8,365,15000,6,0,7,13.93,63.56,1.14
VEH01449,Renault,Arkana,2024,2024-12-26,Diesel,Personnel,6074,21519,2025-08-05,785,127,5289,1,365,20000,10,0,0,26.44,34.79,1.0
VEH01450,Renault,Scenic,2010,2010-09-04,Essence,Personnel,422440,29960,2025-04-15,416921,239,5519,15,365,15000,4,1,14,36.79,65.48,1.07
VEH01451,Volkswagen,T-Roc,2010,2010-07-15,Hybride,Personnel,159672,11331,2025-11-03,142535,37,17137,17,365,15000,8,1,14,114.25,10.14,1.21
VEH01452,Mercedes,GLC,2014,2014-04-26,Essence,Personnel,211136,21127,2025-10-03,202696,68,8440,8,365,15000,7,1,10,56.27,18.63,0.8
VEH01453,BMW,X3,2016,2016-12-14,Essence,Personnel,221429,27534,2025-03-21,218457,264,2972,7,365,15000,6,1,8,19.81,72.33,0.88
VEH01454,Kia,Ceed,2019,2019-07-06,Électrique,Personnel,113165,22400,2024-09-27,96830,439,16335,3,730,30000,6,0,5,54.45,60.14,0.6
VEH01455,Volkswagen,Arteon,2012,2012-12-28,Électrique,Personnel,280078,23564,2025-11-14,276192,26,3886,11,730,30000,6,0,12,12.95,3.56,0.92
VEH01456,Opel,Corsa,2022,2022-02-26,Diesel,Personnel,21460,11816,2025-04-16,176,238,21284,2,365,20000,9,0,2,106.42,65.21,1.0
VEH01457,Mercedes,Classe E,2013,2013-09-25,Hybride,Professionnel,285092,26089,2024-10-06,264647,430,20445,11,328,12000,4,2,11,170.38,131.1,1.0
VEH01458,Volkswagen,Touran,2021,2021-02-11,Diesel,Personnel,38612,13640,2025-07-23,16606,140,22006,3,365,20000,9,0,3,110.03,38.36,1.0
VEH01459,Toyota,C-HR,2022,2022-10-17,Essence,Personnel,55763,24148,2025-08-08,32529,124,23234,1,365,15000,9,0,2,154.89,33.97,0.5
VEH01460,Opel,Mokka,2021,2021-05-04,Essence,Personnel,67647,21463,2025-10-11,60783,60,6864,2,365,15000,9,0,3,45.76,16.44,0.67
VEH01461,Volkswagen,Arteon,2012,2012-06-14,Électrique,Professionnel,168419,13997,2024-11-18,143846,387,24573,12,657,24000,5,0,12,102.39,58.9,1.0
VEH01462,Opel,Grandland,2022,2022-01-03,Essence,Personnel,33013,16654,2025-04-24,9376,230,23637,1,365,15000,9,0,2,157.58,63.01,0.5
VEH01463,Seat,Leon,2011,2011-02-14,Hybride,Personnel,126981,9799,2024-12-27,103179,348,23802,14,365,15000,7,0,13,158.68,95.34,1.08
VEH01464,Ford,Fiesta,2013,2013-06-22,Diesel,Flotte,316113,28159,2025-03-13,294601,272,21512,11,310,14000,5,0,11,153.66,87.74,1.0
VEH01465,Peugeot,5008,2010,2010-12-27,Électrique,Flotte,363819,25612,2025-01-14,342563,330,21256,14,620,21000,4,4,14,101.22,53.23,1.0
VEH01466,Ford,Kuga,2024,2024-05-10,Diesel,Professionnel,0,25534,2025-09-09,0,92,5940,1,328,16000,10,0,0,37.12,28.05,1.0
VEH01467,Opel,Grandland,2018,2018-06-15,Hybride,Personnel,56094,8377,2025-09-03,52072,98,4022,4,365,15000,8,0,6,26.81,26.85,0.67
VEH01468,Peugeot,Rifter,2023,2023-03-27,Essence,Personnel,17420,14190,2025-02-15,12631,298,4789,1,365,15000,9,0,1,31.93,81.64,1.0
VEH01469,Ford,Kuga,2020,2020-10-09,Diesel,Personnel,60500,13418,2024-12-22,44624,353,15876,3,365,20000,7,0,4,79.38,96.71,0.75
VEH01470,Nissan,X-Trail,2020,2020-11-02,Essence,Personnel,64718,16753,2025-02-02,51098,311,13620,4,365,15000,8,0,4,90.8,85.21,1.0
VEH01471,Peugeot,3008,2016,2016-01-16,Diesel,Professionnel,216179,26082,2025-07-26,208379,137,7800,9,328,16000,9,0,8,48.75,41.77,1.12
VEH01472,BMW,Série 1,2022,2022-08-19,Essence,Personnel,67141,29582,2025-01-06,52095,338,15046,2,365,15000,7,0,2,100.31,92.6,1.0
VEH01473,Mercedes,Classe E,2016,2016-07-18,Essence,Personnel,130514,16147,2025-01-21,114447,323,16067,7,365,15000,6,0,8,107.11,88.49,0.88
VEH01474,Ford,Puma,2011,2011-07-05,Hybride,Personnel,174893,13236,2025-02-07,164926,306,9967,13,365,15000,5,1,13,66.45,83.84,1.0
VEH01475,Opel,Astra,2014,2014-09-13,Essence,Personnel,259771,25455,2025-08-06,237649,126,22122,12,365,15000,9,0,10,147.48,34.52,1.2
VEH01476,Ford,Kuga,2019,2019-10-03,Essence,Personnel,106976,21923,2025-01-15,102899,329,4077,6,365,15000,10,0,5,27.18,90.14,1.2
VEH01477,Volkswagen,Tiguan,2020,2020-10-21,Essence,Personnel,53747,13349,2024-11-30,38398,375,15349,4,365,15000,6,0,4,102.33,102.74,1.0
VEH01478,Volkswagen,Golf,2024,2024-05-11,Essence,Professionnel,5372,26228,2025-10-13,0,58,15127,1,328,12000,10,0,0,126.06,17.68,1.0
VEH01479,Mercedes,GLA,2017,2017-03-09,Essence,Personnel,91664,12081,2025-10-12,75610,59,16054,5,365,15000,7,0,7,107.03,16.16,0.71
VEH01480,Opel,Grandland,2016,2016-02-16,Essence,Personnel,189006,23867,2024-10-31,170105,405,18901,8,365,15000,6,0,8,126.01,110.96,1.0
VEH01481,Ford,Mondeo,2024,2024-12-01,Essence,Personnel,4564,21130,2024-09-30,0,436,20060,1,365,15000,9,0,0,133.73,119.45,1.0
VEH01482,Peugeot,Rifter,2013,2013-06-20,Électrique,Personnel,158035,14052,2025-01-14,143697,330,14338,11,730,30000,6,1,11,47.79,45.21,1.0
VEH01483,Volkswagen,Touran,2019,2019-07-23,Électrique,Personnel,147343,28268,2025-04-19,135132,235,12211,4,730,30000,5,0,5,40.7,32.19,0.8
VEH01484,BMW,Série 5,2014,2014-06-26,Diesel,Professionnel,294037,29623,2025-10-05,287970,66,6067,11,328,16000,8,0,10,37.92,20.12,1.1
VEH01485,BMW,Série 3,2021,2021-07-23,Diesel,Personnel,31126,9457,2025-10-03,26820,68,4306,3,365,20000,9,1,3,21.53,18.63,1.0
VEH01486,Kia,Sorento,2022,2022-07-07,Électrique,Personnel,45756,21803,2025-07-26,30296,137,15460,1,730,30000,9,0,2,51.53,18.77,0.5
VEH01487,Opel,Corsa,2016,2016-08-01,Hybride,Personnel,74285,9610,2025-01-30,50788,314,23497,6,365,15000,6,2,8,156.65,86.03,0.75
VEH01488,Citroën,C3,2014,2014-07-13,Diesel,Personnel,175891,16977,2025-01-20,159640,324,16251,8,365,20000,5,1,10,81.26,88.77,0.8
VEH01489,Seat,Arona,2015,2015-07-28,Essence,Professionnel,184425,19933,2024-11-08,167906,397,16519,9,328,12000,5,0,9,137.66,121.04,1.0
VEH01490,BMW,Série 3,2013,2013-09-26,Essence,Professionnel,304835,27942,2025-04-27,298548,227,6287,9,328,12000,5,0,11,52.39,69.21,0.82
VEH01491,Citroën,C4 Cactus,2012,2012-07-11,Diesel,Personnel,207599,17476,2025-10-06,192607,65,14992,10,365,20000,6,0,12,74.96,17.81,0.83
VEH01492,Skoda,Karoq,2012,2012-03-04,Électrique,Professionnel,164264,13731,2025-07-03,156332,160,7932,11,657,24000,7,1,12,33.05,24.35,0.92
VEH01493,Toyota,RAV4,2016,2016-03-25,Essence,Personnel,153879,18354,2025-10-27,139095,44,14784,6,365,15000,7,0,8,98.56,12.05,0.75
VEH01494,Skoda,Kodiaq,2023,2023-05-18,Essence,Flotte,32419,24943,2025-05-16,28454,208,3965,1,310,10500,9,0,1,37.76,67.1,1.0
VEH01495,Audi,Q5,2021,2021-08-18,Diesel,Professionnel,36776,12189,2025-10-21,29111,50,7665,2,328,16000,10,0,3,47.91,15.24,0.67
VEH01496,Skoda,Kamiq,2017,2017-03-23,Diesel,Personnel,151019,21387,2024-09-20,143642,446,7377,5,365,20000,6,0,7,36.88,122.19,0.71
VEH01497,Volkswagen,T-Roc,2014,2014-04-24,Essence,Personnel,239465,23686,2025-08-06,223373,126,16092,9,365,15000,6,1,10,107.28,34.52,0.9
VEH01498,Ford,Puma,2023,2023-11-06,Essence,Personnel,21411,20074,2025-03-12,13683,273,7728,1,365,15000,8,0,1,51.52,74.79,1.0
VEH01499,Skoda,Kamiq,2015,2015-05-02,Hybride,Personnel,85302,9030,2025-07-23,73292,140,12010,8,365,15000,8,1,9,80.07,38.36,0.89
VEH01500,Seat,Ibiza,2011,2011-03-07,Diesel,Professionnel,173994,13051,2025-07-07,154389,156,19605,16,328,16000,8,0,13,122.53,47.56,1.23
VEH01501,Peugeot,5008,2017,2017-07-25,Diesel,Professionnel,104292,14759,2024-12-25,92676,350,11616,5,328,16000,6,0,7,72.6,106.71,0.71
VEH01502,Seat,Tarraco,2018,2018-07-22,Hybride,Professionnel,79558,13561,2025-04-01,65971,253,13587,4,328,12000,6,0,6,113.22,77.13,0.67
VEH01503,Audi,A4,2023,2023-01-09,Diesel,Flotte,26188,18779,2025-08-23,23101,109,3087,1,310,14000,10,0,1,22.05,35.16,1.0
VEH01504,Seat,Leon,2014,2014-10-08,Essence,Flotte,189220,18846,2025-06-27,186833,166,2387,11,310,10500,7,0,10,22.73,53.55,1.1
VEH01505,Seat,Ateca,2017,2017-08-17,Essence,Personnel,127161,17391,2025-10-27,111236,44,15925,5,365,15000,9,1,7,106.17,12.05,0.71
VEH01506,Mercedes,GLA,2016,2016-01-27,Électrique,Professionnel,203828,25423,2024-10-07,184295,429,19533,7,657,24000,6,0,8,81.39,65.3,0.88
VEH01507,Kia,Sorento,2011,2011-01-21,Diesel,Personnel,389246,29329,2025-06-19,379352,174,9894,13,365,20000,7,1,13,49.47,47.67,1.0
VEH01508,Mercedes,Classe E,2021,2021-07-26,Électrique,Personnel,91456,28384,2025-02-07,75511,306,15945,3,730,30000,7,0,3,53.15,41.92,1.0
VEH01509,Opel,Corsa,2014,2014-06-16,Essence,Professionnel,268826,26965,2024-09-28,251119,438,17707,11,328,12000,7,0,10,147.56,133.54,1.1
VEH01510,Seat,Tarraco,2018,2018-12-13,Électrique,Professionnel,97535,16278,2025-07-16,91204,147,6331,6,657,24000,8,0,6,26.38,22.37,1.0
VEH01511,Volkswagen,Polo,2019,2019-02-05,Diesel,Personnel,66050,11693,2024-12-28,46038,347,20012,5,365,20000,6,0,5,100.06,95.07,1.0
VEH01512,Citroën,C3 Aircross,2023,2023-09-02,Essence,Personnel,33068,26942,2025-08-14,25571,118,7497,1,365,15000,9,0,1,49.98,32.33,1.0
VEH01513,Renault,Clio,2011,2011-12-17,Essence,Flotte,272956,20646,2025-04-22,258524,232,14432,13,310,10500,4,1,13,137.45,74.84,1.0
VEH01514,Ford,EcoSport,2017,2017-12-13,Hybride,Personnel,81092,11987,2025-02-23,76353,290,4739,6,365,15000,6,0,7,31.59,79.45,0.86
VEH01515,Hyundai,i30,2024,2024-09-10,Électrique,Personnel,7647,18463,2025-07-29,0,134,23009,1,730,30000,10,0,0,76.7,18.36,1.0
VEH01516,Kia,Sorento,2020,2020-03-07,Essence,Professionnel,75336,18317,2025-05-05,54046,219,21290,3,328,12000,8,0,4,177.42,66.77,0.75
VEH01517,Renault,Kadjar,2023,2023-07-06,Électrique,Flotte,11177,8114,2024-10-08,37,428,11140,1,620,21000,7,0,1,53.05,69.03,1.0
VEH01518,Renault,Talisman,2010,2010-07-14,Essence,Personnel,422030,29903,2025-04-28,411227,226,10803,15,365,15000,3,1,14,72.02,61.92,1.07
VEH01519,Peugeot,508,2023,2023-04-10,Essence,Personnel,12374,8051,2025-02-26,0,287,12614,1,365,15000,8,0,1,84.09,78.63,1.0
VEH01520,Toyota,Yaris,2018,2018-10-01,Diesel,Personnel,126412,20035,2024-11-06,118034,399,8378,5,365,20000,7,1,6,41.89,109.32,0.83
VEH01521,Opel,Mokka,2019,2019-07-06,Diesel,Personnel,110578,20727,2025-04-09,108073,245,2505,5,365,20000,7,1,5,12.52,67.12,1.0
VEH01522,Peugeot,5008,2018,2018-11-22,Essence,Personnel,178945,28999,2024-10-26,156814,410,22131,7,365,15000,8,0,6,147.54,112.33,1.17
VEH01523,Opel,Grandland,2024,2024-07-01,Électrique,Personnel,878,27487,2025-09-27,0,74,2729,1,730,30000,10,0,0,9.1,10.14,1.0
VEH01524,Seat,Tarraco,2019,2019-09-27,Électrique,Personnel,73828,14120,2025-11-23,61909,17,11919,3,730,30000,10,0,5,39.73,2.33,0.6
VEH01525,BMW,Série 3,2011,2011-08-12,Diesel,Personnel,252324,18997,2025-06-23,246465,170,5859,14,365,20000,7,2,13,29.3,46.58,1.08
VEH01526,Opel,Astra,2022,2022-02-04,Essence,Personnel,59075,25754,2025-02-21,52335,292,6740,2,365,15000,7,0,2,44.93,80.0,1.0
VEH01527,Citroën,C4,2012,2012-10-16,Diesel,Professionnel,232828,18953,2025-02-03,228389,310,4439,14,328,16000,5,0,12,27.74,94.51,1.17
VEH01528,Mercedes,Classe C,2011,2011-09-12,Essence,Professionnel,232194,17622,2025-03-27,228708,258,3486,10,328,12000,3,1,13,29.05,78.66,0.77
VEH01529,Seat,Arona,2017,2017-01-23,Essence,Personnel,185070,26825,2024-11-20,181439,385,3631,8,365,15000,7,1,7,24.21,105.48,1.14
VEH01530,Toyota,Corolla,2013,2013-03-09,Électrique,Personnel,257321,23401,2025-03-18,249982,267,7339,13,730,30000,4,0,11,24.46,36.58,1.18
VEH01531,Toyota,Aygo,2020,2020-09-06,Essence,Personnel,54377,13272,2024-11-28,37546,377,16831,3,365,15000,8,0,4,112.21,103.29,0.75
VEH01532,Skoda,Kamiq,2010,2010-08-03,Hybride,Flotte,141777,9930,2025-02-16,118757,297,23020,10,310,10500,5,0,14,219.24,95.81,0.71
VEH01533,Opel,Astra,2023,2023-08-26,Essence,Personnel,19341,11578,2025-10-17,7020,54,12321,1,365,15000,9,0,1,82.14,14.79,1.0
VEH01534,Seat,Ateca,2010,2010-10-05,Essence,Personnel,201278,14540,2025-11-14,184127,26,17151,12,365,15000,6,0,14,114.34,7.12,0.86
VEH01535,Mercedes,Classe B,2023,2023-11-03,Diesel,Personnel,30924,24520,2024-10-24,18692,412,12232,1,365,20000,7,0,1,61.16,112.88,1.0
VEH01536,Opel,Mokka,2017,2017-07-19,Essence,Personnel,189768,26197,2025-08-13,174264,119,15504,6,365,15000,7,0,7,103.36,32.6,0.86
VEH01537,Seat,Ibiza,2019,2019-12-17,Hybride,Personnel,67908,12628,2025-08-19,55722,113,12186,6,365,15000,9,0,5,81.24,30.96,1.2
VEH01538,Renault,Megane,2015,2015-09-22,Essence,Personnel,255724,28013,2025-08-09,231291,123,24433,7,365,15000,8,0,9,162.89,33.7,0.78
VEH01539,Hyundai,Tucson,2017,2017-05-17,Diesel,Personnel,114023,15928,2025-09-14,98239,87,15784,6,365,20000,7,1,7,78.92,23.84,0.86
VEH01540,Audi,Q5,2013,2013-10-18,Diesel,Personnel,168065,15177,2025-06-30,148307,163,19758,14,365,20000,8,0,11,98.79,44.66,1.27
VEH01541,Kia,Sportage,2016,2016-03-18,Diesel,Personnel,78852,9554,2025-06-12,75113,181,3739,6,365,20000,6,1,8,18.7,49.59,0.75
VEH01542,Opel,Crossland,2015,2015-02-12,Essence,Professionnel,188711,21011,2025-08-17,168212,115,20499,9,328,12000,7,0,9,170.82,35.06,1.0
VEH01543,Kia,Sportage,2011,2011-01-16,Hybride,Personnel,373987,28609,2024-11-21,371085,384,2902,16,365,15000,5,0,13,19.35,105.21,1.23
VEH01544,Kia,Sorento,2016,2016-02-20,Hybride,Personnel,68331,8625,2025-06-15,56667,178,11664,7,365,15000,7,0,8,77.76,48.77,0.88
VEH01545,Nissan,Micra,2016,2016-12-20,Hybride,Personnel,162070,20155,2025-06-22,151287,171,10783,6,365,15000,6,0,8,71.89,46.85,0.75
VEH01546,Citroën,C4,2017,2017-06-26,Essence,Personnel,188655,26543,2025-10-31,186309,40,2346,8,365,15000,8,2,7,15.64,10.96,1.14
VEH01547,Volkswagen,Arteon,2021,2021-03-12,Diesel,Personnel,94993,29452,2025-07-21,78571,142,16422,2,365,20000,10,0,3,82.11,38.9,0.67
VEH01548,Toyota,Yaris,2022,2022-08-23,Diesel,Flotte,27649,14267,2025-04-07,6154,247,21495,2,310,14000,7,0,2,153.54,79.68,1.0
VEH01549,Renault,Megane,2020,2020-02-02,Diesel,Flotte,36705,8318,2025-07-06,12504,157,24201,4,310,14000,9,0,4,172.86,50.65,1.0
VEH01550,Opel,Corsa,2010,2010-05-12,Essence,Personnel,167334,12130,2025-08-13,151296,119,16038,17,365,15000,6,1,14,106.92,32.6,1.21
VEH01551,Opel,Corsa,2013,2013-11-11,Diesel,Professionnel,316906,28164,2025-09-02,297033,99,19873,9,328,16000,7,0,11,124.21,30.18,0.82
VEH01552,Citroën,C3,2015,2015-07-03,Diesel,Personnel,79772,9089,2025-05-06,61818,218,17954,9,365,20000,6,1,9,89.77,59.73,1.0
VEH01553,Skoda,Kodiaq,2010,2010-02-18,Essence,Professionnel,293660,20676,2025-03-31,283050,254,10610,11,328,12000,4,0,14,88.42,77.44,0.79
VEH01554,Nissan,Qashqai,2021,2021-04-22,Essence,Professionnel,49396,14351,2024-09-22,37927,444,11469,3,328,12000,6,0,3,95.58,135.37,1.0
VEH01555,Audi,Q5,2017,2017-07-25,Essence,Personnel,94525,13150,2025-06-16,92262,177,2263,8,365,15000,8,0,7,15.09,48.49,1.14
VEH01556,Mercedes,Classe C,2024,2024-07-06,Essence,Personnel,0,17367,2025-04-09,0,245,19604,1,365,15000,8,0,0,130.69,67.12,1.0
VEH01557,Kia,Ceed,2013,2013-04-10,Hybride,Personnel,205877,18847,2025-10-26,203378,45,2499,7,365,15000,7,0,11,16.66,12.33,0.64
